iter	Passed	Remaining
798	7481	1882
799	7486	1871
800	7496	1862
801	7507	1853
802	7513	1843
803	7518	1832
804	7525	1822
805	7533	1813
806	7543	1804
807	7548	1793
808	7556	1784
809	7566	1774
810	7576	1765
811	7582	1755
812	7588	1745
813	7597	1735
814	7607	1726
815	7619	1718
816	7629	1708
817	7640	1699
818	7650	1690
819	7657	1680
820	7667	1671
821	7676	1662
822	7686	1653
823	7695	1643
824	7704	1634
825	7715	1625
826	7727	1616
827	7737	1607
828	7747	1598
829	7758	1589
830	7768	1579
831	7778	1570
832	7787	1561
833	7796	1551
834	7805	1542
835	7814	1533
836	7825	1523
837	7834	1514
838	7845	1505
839	7854	1496
840	7865	1487
841	7875	1477
842	7884	1468
843	7893	1458
844	7903	1449
845	7913	1440
846	7922	1431
847	7932	1421
848	7942	1412
849	7953	1403
850	7964	1394
851	7972	1384
852	7983	1375
853	7994	1366
854	8002	1357
855	8011	1347
856	8022	1338
857	8032	1329
858	8042	1320
859	8051	1310
860	8059	1301
861	8067	1291
862	8077	1282
863	8089	1273
864	8100	1264
865	8107	1254
866	8118	1245
867	8130	1236
868	8139	1226
869	8148	1217
870	8157	1208
871	8167	1198
872	8176	1189
873	8185	1180
874	8195	1170
875	8205	1161
876	8214	1152
877	8224	1142
878	8235	1133
879	8242	1123
880	8253	1114
881	8262	1105
882	8273	1096
883	8283	1087
884	8292	1077
885	8302	1068
886	8311	1058
887	8320	1049
888	8330	1040
889	8341	1030
890	8351	1021
891	8361	1012
892	8371	1003
893	8381	993
894	8390	984
895	8401	975
896	8411	965
897	8420	956
898	8429	947
899	8439	937
900	8449	928
901	8459	919
902	8469	909
903	8478	900
904	8488	891
905	8497	881
906	8507	872
907	8517	863
908	8526	853
909	8537	844
910	8547	835
911	8557	825
912	8567	816
913	8576	806
914	8586	797
915	8596	788
916	8606	778
917	8614	769
918	8626	760
919	8636	750
920	8644	741
921	8656	732
922	8667	723
923	8678	713
924	8688	704
925	8696	694
926	8706	685
927	8716	676
928	8727	667
929	8737	657
930	8746	648
931	8756	638
932	8767	629
933	8778	620
934	8787	610
935	8797	601
936	8806	592
937	8814	582
938	8825	573
939	8836	564
940	8847	554
941	8856	545
942	8864	535
943	8874	526
944	8885	517
945	8893	507
946	8903	498
947	8913	488
948	8918	479
949	8927	469
950	8938	460
951	8947	451
952	8957	441
953	8968	432
954	8976	422
955	8985	413
956	8996	404
957	9004	394
958	9012	385
959	9020	375
960	9029	366
961	9040	357
962	9049	347
963	9060	338
964	9071	329
965	9081	319
966	9090	310
967	9101	300
